Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J033626-201940,03:36:26.98,-20:19:40.0,3.125,03:36:27.01,-20:19:38.6,03:36:26.981,-20:19:40.06,18.141,17.561,17.816,17.796,,,,,,,,UM 683,3.125,QSO B0334-204,3.132,0,2,3456,3282.6989624035,6810.2312978938,"3423.95-4517.70,4784.99-4855.00,4859.22-5546.83,5547.43-5578.84,5579.54-5756.63,5832.30-6302.25,6302.35-6810.23",2.5,"2,6,14,14,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","1.08,1.09,1.35",71.B-0106(B),qm0334m204,,,,
J033854-000521,03:38:54.77,-00:05:21.0,3.05,03:38:54.77,-00:05:21.9,03:38:54.772,-00:05:20.98,19.102,18.353,18.263,18.114,SDSS J033854.77-000521.0,3.05,19.991,18.737,18.448,18.33,18.271,SDSS J033854.77-000520.9,3.049,QSO B0336-0015,3.049,0,3,11800,3045.9966330918,9467.039675294,"3382.39-5455.34,5456.25-5578.91,5579.52-5662.53,5678.47-6302.17,6302.75-7519.94,7664.35-8467.96,8468.17-9467.04",2.5,"4,8,10,18,16","49.8,49.8,47.8,47.8,47.8",1,2x2,"346,437,570,760","1.12,1.71,2.21","074.A-0201(A),080.A-0014(A)","j0338m0005,sdssmj033854.77m000520",,21.05,0.25,Zafar et al. (2013)
J034957-210247,03:49:57.81,-21:02:47.6,2.944,03:49:57.71,-21:02:52.6,03:49:57.810,-21:02:47.63,20.476,19.923,20.297,,,,,,,,,PKS 0347-211,2.944,IVS B0347-211,0.0,0,3,8873,3281.806121346,6810.0257146197,"3309.56-4134.68,4140.31-4514.92,4783.81-4854.98,4857.04-5756.98,5839.08-6064.94,6067.92-6763.39,6766.10-6810.03",2.5,"5,3,9,8,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.49,0.66,1.04",71.A-0067(A),b0347m211,,,,
J035405-272421,03:54:05.56,-27:24:21.0,2.819,03:54:05.58,-27:24:21.9,03:54:05.563,-27:24:21.00,17.918,17.357,17.472,17.121,,,,,,,,UM 684,2.819,QSO B0352-275,2.823,0,4,10240,3280.6344349022,6813.160000868,"3292.45-4520.39,4786.77-4808.37,4812.34-4846.05,4850.37-4884.59,4888.95-4923.77,4928.58-5237.31,5242.56-5759.59,5837.00-6065.20,6073.35-6813.16",2.5,"12,19,35,34,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.73,1.15,1.57",078.A-0003(A),q0352m275,,,,
J042214-384452,04:22:14.78,-38:44:52.8,3.11,04:22:14.90,-38:44:52.4,04:22:14.788,-38:44:52.89,17.324,16.443,16.431,16.033,,,,,,,,[HB89] 0420-388 NED01,3.11,QSO B0420-3850,3.123,0,18,57770,3282.785301371,10432.2707996284,"3713.14-5600.38,5676.93-6653.01,6702.13-6770.21,6783.60-6848.91,6855.31-6929.68,6939.98-6992.90,6996.34-8523.97,8661.18-10257.07,10259.30-10432.27",2.5,"0,77,92,91,89","0.0,49.8,47.8,47.8,47.8",1,2x2,"390,437,564,860","0.57,0.90,1.59",166.A-0106(A),q0420m388,,,,
J043403-435547,04:34:03.18,-43:55:47.3,2.649,04:34:02.98,-43:55:45.3,04:34:03.187,-43:55:47.37,19.814,19.263,19.724,,,,,,,,,PKS 0432-440,2.649,QSO B0432-4401,2.649,0,4,14300,3283.7290139147,6810.323415373,"3283.73-4520.81,4804.68-4847.95,4858.07-5578.36,5579.01-5756.52,5840.94-6275.85,6285.90-6762.84,6768.48-6810.32",2.5,"6,11,15,13,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.44,0.70,1.07",71.A-0067(A),b0432m440,,20.78,0.1,Zafar et al. (2013)
J044017-433308,04:40:17.16,-43:33:08.5,2.863,04:40:17.21,-43:33:09.1,04:40:17.162,-43:33:08.56,19.305,18.016,18.756,18.29,,,,,,,,[HB89] 0438-436,2.863,QSO B0438-436,2.852,0,6,22125,3064.5228515685,10429.3685287642,"3764.60-5578.69,5579.20-5756.96,5832.39-6714.02,6734.77-6927.29,6964.54-7024.21,7042.51-7103.91,7126.57-7273.61,7295.85-7922.93,7924.06-7966.79,7967.59-8027.61,8029.02-8453.22,8455.41-8523.87,8657.90-9767.53,9780.98-9924.93,9932.22-10087.56,10099.34-10255.59,10280.59-10429.37",2.5,"0,10,12,14,23","0.0,49.8,47.8,47.8,47.8",1,2x2,"346,390,437,580,860","0.60,0.95,1.50","072.A-0346(A),69.A-0051(A)",b0438m436,,20.78,0.12,Zafar et al. (2013)
J044534-354704,04:45:34.58,-35:47:04.1,2.61,04:45:34.55,-35:47:05.3,04:45:34.582,-35:47:04.17,18.462,17.9,18.241,17.759,,,,,,,,2MASSi J0445345-354703,2.61,[VV96] J044534.6-354703,2.61,0,3,10625,3758.7242206816,9466.5521508712,"3758.72-4983.08,5685.80-7525.57,7669.39-7752.85,7752.98-8829.59,8829.74-8922.18,8922.41-8990.90,8991.05-9378.55,9378.78-9466.55",2.5,"0,33,0,31,28","0.0,49.8,0.0,47.8,47.8",1,2x2,"437,760","0.86,1.04,1.53",072.A-0442(A),ctm258,,20.3,0.1,This work
J045214-164016,04:52:14.24,-16:40:16.3,2.6,04:52:14.23,-16:40:17.0,04:52:14.240,-16:40:16.30,17.483,,17.403,16.925,,,,,,,,H 0449-1645,2.6,QSO B0449-1645,2.6,0,3,15600,3283.0287299234,6656.3353281157,"3284.95-4520.98,4622.30-4694.75,4697.73-5578.98,5579.40-5600.00,5676.69-6652.78",2.5,"18,40,47,44,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.44,0.70,1.21",078.A-0646(A),q0449m1645,,,,
J080916+053941,08:09:16.98,+05:39:41.9,2.555,08:09:16.99,+05:39:42.1,08:09:16.979,+05:39:41.92,18.885,18.461,18.492,18.324,SDSS J080916.98+053941.9,2.555,19.378,18.769,18.602,18.601,18.404,SDSS J080916.98+053942.0,2.537,SDSS J080916.98+053942.0,2.537,0,1,5400,3284.483722136,7005.7439653408,"3284.48-4520.94,4978.17-5957.61,6038.28-6996.69,6999.90-7003.41",2.5,"6,6,17,14,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,600","0.85,0.89,0.90",080.A-0482(A),sdss0809p05,,20.39,0.22,Noterdaeme et al. (2009)
