Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J004816-254745,00:48:16.99,-25:47:45.9,0.486,00:48:16.80,-25:47:44.0,00:48:16.993,-25:47:45.98,18.941,18.42,18.499,17.906,,,,,,,,[HB89] 0045-260,0.486,QSO B0045-260,0.486,0,2,7200,3284.3024900492,6651.9803452826,"3284.30-4522.62,4619.32-4650.51,4662.94-4688.05,4703.63-5132.17,5132.47-5578.96,5579.80-5598.02,5672.55-5894.72,5905.39-6302.22,6302.85-6651.98",2.5,"7,7,18,17,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.70,0.78,0.94",67.B-0373(A),0045m260,,,,
J004848-260020,00:48:48.41,-26:00:20.9,1.41,00:48:48.40,-26:00:20.0,00:48:48.411,-26:00:20.97,18.838,18.275,18.412,18.259,,,,,,,,[VCV96] Q 0046-2616,1.41,QSO B0046-2616,1.41,0,2,7200,3284.915019748,6651.1684496362,"3284.92-4522.52,4617.25-4649.79,4663.42-4684.19,4702.12-5132.14,5132.44-5578.97,5579.63-5597.80,5671.62-6616.48,6620.68-6651.17",2.5,"5,7,14,14,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.99,1.04,1.06",67.B-0373(A),qm0046m2616,,,,
J005024-252234,00:50:24.88,-25:22:34.9,1.969,00:50:24.80,-25:22:34.0,00:50:24.881,-25:22:34.94,18.607,17.806,18.223,17.734,,,,,,,,LBQS 0047-2538,1.969,LBQS 0047-2538,1.969,0,3,5400,3285.2263037494,6652.1315525239,"3285.23-4124.83,4130.68-4523.29,4618.58-4685.45,4697.94-4705.82,4710.53-5598.29,5672.54-6652.13",2.5,"6,6,16,14,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.49,0.84,1.17",67.B-0373(A),lbqsm0047m2538,,,,
J005102-252846,00:51:02.43,-25:28:46.2,2.082,00:51:01.80,-25:28:47.0,00:51:02.431,-25:28:46.25,19.418,18.318,18.486,17.682,,,,,,,,LBQS 0048-2545,2.082,LBQS 0048-2545,2.082,0,4,7200,3284.9130504202,6652.1628983324,"3284.91-4523.01,4618.29-4657.58,4660.27-4691.69,4696.78-5598.87,5672.80-6617.75,6619.57-6652.16",2.5,"4,5,13,12,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.45,0.59,1.48",67.B-0373(A),lbqsm0048m2545,,,,
J005109-255216,00:51:09.24,-25:52:16.8,2.249,00:51:09.23,-25:52:16.5,00:51:09.241,-25:52:16.80,18.973,18.542,18.753,18.725,,,,,,,,[HB89] 0048-261,2.249,QSO B0048-261,2.249,0,2,3600,3284.9523233816,6651.1885156438,"3284.95-4522.65,4617.27-5597.82,5671.59-6617.77,6619.48-6651.19",2.5,"4,4,10,9,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.72,0.89,0.92",67.B-0373(A),0048m261,,,,
J005211-251857,00:52:11.03,-25:18:57.9,1.528,00:52:11.10,-25:18:59.0,00:52:11.038,-25:18:57.94,18.496,18.167,18.082,17.6,,,,,,,,LBQS 0049-2535,1.528,LBQS 0049-2535,1.528,0,4,7200,3284.9153228249,6652.1120274568,"3284.92-4523.31,4617.91-4650.99,4660.66-5579.02,5579.63-5598.88,5672.38-6617.81,6619.35-6651.50",2.5,"5,6,18,18,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.53,0.67,0.81",67.B-0373(A),q0048m264,,,,
J005419-254900,00:54:19.74,-25:49:00.7,0.624,00:54:19.77,-25:48:59.9,00:54:19.740,-25:49:00.78,18.297,18.136,17.991,17.709,,,,,,,,LBQS 0051-2605,0.624,LBQS 0051-2605,0.624,0,5,9000,3284.913147437,6652.1076221913,"3284.91-4523.27,4617.87-4655.49,4660.81-4685.67,4703.88-5578.83,5579.72-5598.87,5680.47-6302.13,6302.71-6617.64,6619.46-6652.11",2.5,"4,6,17,13,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.49,0.68,1.85",67.B-0373(A),lbqsm0051m2605,,,,
J005758-264314,00:57:58.03,-26:43:14.2,3.655,00:57:58.18,-26:43:15.4,00:57:58.032,-26:43:14.23,19.027,17.978,17.978,17.334,,,,,,,,[HB89] 0055-269,3.655,QSO B0055-2659,3.662,0,24,89245,3046.5679194373,9766.9911173247,3139.73-9766.99,2.5,"9,44,75,103,68","49.8,49.8,52.0,49.9,47.8","0.9,1.0",2x2,"346,437,565,580,760,800","0.37,0.93,1.94","092.A-0011(A),65.O-0296(A)",q0055m269,,,,
J005905+000651,00:59:05.51,+00:06:51.6,0.719,00:59:05.45,+00:06:51.0,00:59:05.523,+00:06:51.58,17.949,17.059,17.731,17.247,SDSS J005905.51+000651.6,0.719,17.742,17.446,17.42,17.49,17.323,LBQS 0056-0009,0.719,4C -00.06,0.717,0,4,2000,3283.2021007628,9467.2558053106,"3296.34-4742.10,4746.97-5388.10,5396.24-5589.61,5594.14-5756.60,5759.14-5825.32,5829.55-7517.23,7662.03-9467.26",2.5,"4,10,14,17,10","49.8,49.8,47.8,47.8,47.8",1,2x2,"390,437,580,760","0.76,0.97,1.47",075.A-0841(A),obmm094,,,,
J005925-411043,00:59:25.08,-41:10:43.4,2.05,00:59:25.02,-41:10:43.6,00:59:25.083,-41:10:43.45,17.621,17.103,17.281,16.564,,,,,,,,CTS 0508,2.05,QSO B0057-4126,2.05,0,1,1800,3045.3729847875,6810.6905142851,"3062.28-3869.42,4776.42-5756.25,5833.23-6172.48,6172.64-6235.39,6235.55-6279.54,6279.64-6346.34,6346.45-6622.56,6622.78-6696.93,6697.15-6810.69",2.5,"9,0,18,18,0","73.6,0.0,70.9,70.9,0.0",0.6,2x2,"346,580","0.53,0.63,0.66",072.A-0442(A),hem0057m4126,,,,
J010217-271949,01:02:17.04,-27:19:49.6,1.593,01:02:17.07,-27:19:49.9,01:02:17.048,-27:19:49.62,18.379,17.425,17.587,17.03,,,,,,,,LBQS 0059-2735,1.593,LBQS 0059-2735,1.595,0,8,22800,3045.5077219913,10429.3340126887,"3122.03-5759.96,5835.77-6849.10,6857.44-6930.97,6940.74-6992.92,6997.00-8346.17,8347.00-8524.69,8662.93-9087.07,9101.56-9766.85,9779.07-9924.40,9944.20-10087.19,10095.94-10123.17,10132.71-10255.38,10259.32-10429.33",2.5,"6,30,38,42,46","49.8,49.8,47.8,47.8,47.8",1,2x2,"346,437,580,860","0.60,1.33,1.59",078.B-0433(A),qsom0059mm273,,,,
J010517-291511,01:05:17.93,-29:15:11.1,2.218,01:05:17.92,-29:15:11.6,01:05:17.933,-29:15:11.12,20.083,20.15,19.938,,,,,,,,,[VCV96] Q 0102-2931,2.218,QSO B0102-2931,2.22,0,1,3900,3282.8405508629,9466.2132604766,"3293.07-4519.13,5679.25-5752.89,5761.39-5924.91,5930.15-7520.91,7665.47-7694.54,7694.67-7728.05,7728.18-7748.70,7748.89-7790.16,7790.42-7823.56,7823.69-7828.58,7828.71-7930.36,7930.50-8027.64,8029.45-8068.44,8068.58-8108.98,8109.19-8122.79,8123.06-8139.40,8141.44-8253.96,8254.10-8275.05,8275.26-8330.37,8330.51-8351.79,8352.07-8479.66,8479.80-8596.21,8596.35-8603.52,8603.66-8673.54,8673.69-8704.63,8704.77-8708.62,8708.76-8728.32,8728.47-8805.89,8806.04-8812.28,8812.50-8829.27,8829.57-8877.11,8877.34-9014.30,9014.52-9026.26,9026.41-9112.93,9113.24-9126.09,9126.24-9142.77,9143.00-9245.12,9245.35-9466.21",2.5,"3,6,0,7,6","41.5,41.5,0.0,41.1,41.1",1.2,2x2,"390,760","1.10,1.41,1.71",075.A-0617(A),q0103m294a,,,,
